HHID;HV201;HV202;HV201A;HV201B;HV204;HV205;HV206;HV207;HV208;HV209;HV210;HV211;HV212;HV213;HV214;HV215;HV216;HV217;HV218;HV219;HV220;HV221;HV222;HV223;HV225;HV226;HV227;HV228;HV230A;HV230B;HV232;HV232B;HV232C;HV232D;HV232E;HV232Y;HV234;HV234A;HV235;HV236A;HV237;HV237A;HV237B;HV237C;HV237D;HV237E;HV237F;HV237G;HV237H;HV237I;HV237J;HV237K;HV237X;HV237Z;HV238;HV238A;HV239;HV240;HV241;HV242;HV243A;HV243B;HV243C;HV243D;HV243E;HV244;HV245;HV246;HV246A;HV246B;HV246C;HV246D;HV246E;HV246F;HV246G;HV246H;HV246I;HV246J;HV246K;HV247;HV252;HV253;HV253A;HV253B;HV253C;HV253D;HV253E;HV253F;HV253G;HV253H;HV253X;HV253Z;HV255;HV256;HV257;HV259;HV260;HV261;HV262;HV263;HV270;HV271;HV270A;HV271A;HML1;HML1A;HML2
       2  75;12;  ; ;1;996;23;1;0;1;1;0;0;0;33;31;31; 5;4; 1;2;70;0; 8; 5;0;10;0;3;2;1;1;0; ; ; ;0;   ;0; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;1;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  141039;4;   65118; 0;0; 0
       2  80;32;  ; ;0;996;21;1;0;1;1;0;1;0;33;32;31; 6;5; 1;1;74;0; 8; 5;0;10;1; ;4; ; ; ; ; ; ; ;   ;1;2;  ;1;0;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;1;1; 35;1; 0; 0; 0; 0; 0; 2; 0;  ;  ;  ;  ;1;1; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  115364;4;   35232; 5;5; 0
       2  85;12;  ; ;1;996;52;1;0;1;1;0;0;0;33;32;31; 4;4; 1;2;52;0; 8; 5;0;10;1; ;1;1;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;4; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;5;  153668;5;   79819; 4;4; 0
       2  90;31;  ; ;0;996;23;1;0;1;0;0;0;0;33;31;31; 5;4; 1;1;66;0; 8; 5;0;10;1;1;2;0;0;0; ; ; ;1;   ;1;2;  ;1;0;0;0;0;0;0;1; ; ; ; ;0;0;  ;2; ;0;2; ;1;0;0;0;0;1; 50;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;10; 1;1;4;   76373;3;  -10155; 4;4; 1
       2  95;12;  ; ;0;996;21;1;0;1;1;0;1;1;33;31;31; 6;4; 1;1;60;0; 8; 5;0;10;0;3;2;1;1;0; ; ; ;0;   ;1; ;  ;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;1;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;8; ; ; 6; ;10; 1;1;5;  135123;4;   58232; 0;0; 0
       2 100;31;  ; ;0; 10;21;1;0;1;1;0;0;0;33;33;31; 3;4; 1;1;50;0; 9; 6;0;11;0;3;2;0;0;0; ; ; ;1;   ;1;3; 2;1;1;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ; ;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;11; 1;1;4;   41033;2;  -51294; 0;0; 0
       2 105;31;  ; ;0; 10;21;1;0;1;0;0;0;0;33;32;31; 5;4; 1;2;42;0; 8; 5;0;10;1;2;2;0;0;0; ; ; ;1;   ;1;3; 2;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;1; 20;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ; 6; ;10; 1;1;4;   49132;2;  -41865; 5;5; 2
       2 115;31;  ; ;0; 25;23;1;1;1;0;0;0;0;11;32;31; 6;4; 1;2;84;0; 8; 5;0;10;0;3;2;0;0;0; ; ; ;1;   ;3;3; 6;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;3; ;1;0;0;0;0;1; 40;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;1;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;1;4;   57750;2;  -31833; 0;0; 0
       2 130;31;  ; ;0; 15;23;0;0;0;0;0;0;0;11;33;31; 3;4; 1;2;83;0; 8; 5;0;10;1; ;2;0;0;0; ; ; ;1;   ;1;3; 5;0;0;0;0;0;0;0;0; ; ; ; ;0;0;  ;2; ;0;2; ;0;0;0;0;0;1; 20;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 3;0;3;  -45990;1; -152593; 1;1; 0
       21005;31;  ; ;0;  5;23;1;1;1;1;0;0;0;11;22;12; 1;4; 1;1;21;0; 8; 5;1;10;1; ;5; ; ; ; ; ; ; ;   ;1;3; 2;1;0;0;0;0;0;0;1; ; ; ; ;0;0; 3;2; ;0;3; ;1;0;0;0;0;0;   ;0; 0; 0; 0; 0; 0; 0; 0;  ;  ;  ;  ;0;0; ; ; ; ; ; ; ; ; ; ; ;0; ; ;95; ;95; 1;0;4;   47559;2;  -43697; 3;3; 0
