HHID;HV000;HV001;HV002;HV003;HV004;HV005;HV006;HV007;HV008;HV008A;HV009;HV010;HV011;HV012;HV013;HV014;HV015;HV016;HV017;HV018;HV019;HV020;HV021;HV022;HV023;HV024;HV025;HV026;HV027;HV028;HV030;HV031;HV032;HV035;HV040;HV041;HV042;HV044;HV045A;HV045B;HV045C;HV046;HV047;HV048;HV801;HV802;HV803;HV804;HV807D;HV807M;HV807Y;HV807C;HV807A
       2 115;MZ8;     2;   115;  5;   2;  680187; 8;2022;1472;44775;16; 4; 2;16;13; 3;1; 2;1;  104;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 3;1364; 4;1;0;  2;  2; 11;0;    1;     ;1205;1315;70;3; 4; 8;2022;1472;44777
       2 120;MZ8;     2;   120;  0;   2;       0; 8;2022;1472;44781; 0; 0; 0; 0; 0; 0;3; 8;1;  104;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;0;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       2 125;MZ8;     2;   125;  0;   2;       0; 8;2022;1472;44777; 0; 0; 0; 0; 0; 0;6; 4;1;  102;   ;0;   2;   1;   1; 1;1; ;1;       0;  100;     ;   ; 0;1364; 0;0;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       2 130;MZ8;     2;   130;  1;   2;  680187; 8;2022;1472;44775; 9; 0; 0; 9; 8; 0;1; 2;1;  104;   ;0;   2;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1364; 0;1;0;  2; 11; 11;0;    1;     ; 933;1057;84; ;  ;  ;    ;    ;     
       21005;MZ8;     2;  1005;  2;   2;  680187; 8;2022;1472;44775; 3; 1; 2; 3; 3; 0;1; 2;1;  101;   ;0;   2;   1;   1; 1;1; ;1;  681697;  100;     ;   ; 0;1364; 0;0;1;  2;  2;  2;0;    1;     ;1001;1027;26; ;  ;  ;    ;    ;     
       3   6;MZ8;     3;     6;  2;   3; 1118721; 8;2022;1472;44779; 3; 1; 0; 3; 3; 0;1; 6;1;  101;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;1;  2;  2;  2;0;    1;     ; 945;1005;20; ;  ;  ;    ;    ;     
       3  14;MZ8;     3;    14;  1;   3; 1118721; 8;2022;1472;44779; 1; 0; 0; 1; 1; 0;1; 6;1;  101;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;1;0;  2;  2;  2;0;    1;     ; 839; 916;37; ;  ;  ;    ;    ;     
       3  21;MZ8;     3;    21;  0;   3;       0; 8;2022;1472;44779; 0; 0; 0; 0; 0; 0;6; 6;1;  101;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       3  29;MZ8;     3;    29;  1;   3; 1118721; 8;2022;1472;44781; 5; 1; 0; 5; 5; 2;1; 8;1;  101;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;0;0;  2; 11; 11;0;    1;     ; 945;1007;22; ;  ;  ;    ;    ;     
       3  36;MZ8;     3;    36;  1;   3; 1118721; 8;2022;1472;44779; 2; 0; 0; 2; 2; 0;1; 6;1;  101;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;1;0;  2;  2;  2;0;    1;     ;1444;1510;26; ;  ;  ;    ;    ;     
