HHID;CASEID;V801;V802;V803;V804;V805;V806;V811;V812;V813;V814;V815A;V815B;V815C
     164  92;     164  92 02; 848; 910;22;1;  405;  ;0;0;0;0;0;0;0
     164  97;     164  97 01;1757;1823;26;1;  405;  ;0;0;0;0;0;0;0
     164 105;     164 105 02;1535;1545;96;2;  405;  ;0;0;0;0;0;0;0
     165   4;     165   4 03;1913;1944;31;1;  401;  ;0;0;0;0;0;0;0
     165   8;     165   8 02;2043; 601;97;1;  402;  ;0;0;0;0;0;0;0
     165  12;     165  12 02; 927;1451;96;2;  401;  ;0;0;0;0;0;0;0
     165  17;     165  17 02;1436;1517;41;1;  402;  ;0;0;0;0;0;0;0
     165  21;     165  21 02;1841;1900;19;1;  402;  ;0;0;0;0;0;0;0
     165  25;     165  25 02;1302;1346;44;1;  402;  ;0;0;0;0;0;0;0
     165  25;     165  25 05;1346;1359;13;1;  402;  ;0;0;0;0;0;0;0
     165  29;     165  29 02;1804;1824;20;1;  402;  ;0;0;0;0;0;0;0
     165  33;     165  33 02;1148;1229;41;1;  402;  ;0;0;0;0;0;0;0
     165  37;     165  37 02;1654;1722;96;2;  401;  ;0;0;0;0;0;0;0
     165  41;     165  41 02;1608;1627;96;2;  402;  ;0;0;0;0;0;0;0
     165  45;     165  45 02;1709;1732;23;1;  402;  ;0;0;0;0;0;0;0
     165  45;     165  45 03; 603; 611; 8;1;  402;  ;0;0;0;0;0;0;0
     165  53;     165  53 01;1723;1758;35;1;  401;  ;0;0;0;0;0;0;0
     165  57;     165  57 02;1708;1750;42;1;  402;  ;0;0;0;0;0;0;0
     165  65;     165  65 02;1821;1933;72;1;  402;  ;0;0;0;0;0;0;0
     165  69;     165  69 02;1652;1643;96;3;  401;  ;0;0;0;0;0;0;0
     165  73;     165  73 02;1951;2017;96;2;  401;  ;0;0;0;0;0;0;0
     165  77;     165  77 02;1529;1605;36;1;  402;  ;0;0;0;0;0;0;0
     165  81;     165  81 02;1532;1647;75;1;  401;  ;0;0;0;0;0;0;0
     165  85;     165  85 02;1714;1733;19;1;  401;  ;0;0;0;0;0;0;0
     165  93;     165  93 02;1227;1247;96;2;  401;  ;0;0;0;0;0;0;0
     165 101;     165 101 02;1912;1845;96;3;  401;  ;0;0;0;0;0;0;0
     165 101;     165 101 05;1322;1332;10;1;  401;  ;0;0;0;0;0;0;0
     165 105;     165 105 02; 724; 724;96;3;  401;  ;0;0;0;0;0;0;0
     166  28;     166  28 02; 743; 757;14;1;  401;  ;0;0;0;0;0;0;0
     166  45;     166  45 02;1017;1103;46;1;  402;  ;0;0;0;0;0;0;0
     166  61;     166  61 01;1327;1327;96;3;  401;  ;0;0;0;0;0;0;0
     166  77;     166  77 02; 659; 716;96;3;  402;  ;0;0;0;0;0;0;0
     166  77;     166  77 07; 743; 729;96;2;  402;  ;0;0;0;0;0;0;0
     166 109;     166 109 02; 721; 803;42;1;  402;  ;0;0;0;0;0;0;0
     166 125;     166 125 02;1050;1057;96;2;  401;  ;0;0;0;0;0;0;0
     166 125;     166 125 03;1140;1126;96;3;  401;  ;0;0;0;0;0;0;0
     166 141;     166 141 02; 832; 912;40;1;  402;  ;0;0;0;0;0;0;0
     166 157;     166 157 02;1250;1250;96;4;  402;  ;0;0;0;0;0;0;0
     166 189;     166 189 01;1412;1425;13;1;  402;  ;0;0;0;0;0;0;0
     166 205;     166 205 02; 746; 811;96;2;  401;  ;0;0;0;0;0;0;0
     166 221;     166 221 02;1336;1351;15;1;  402;  ;0;0;0;0;0;0;0
     166 237;     166 237 02;1539;1540;96;3;  402;  ;0;0;0;0;0;0;0
     166 254;     166 254 02;2018;2034;16;1;  401;  ;0;0;0;0;0;0;0
     166 254;     166 254 05;1958;2013;15;1;  402;  ;0;0;0;0;0;0;0
     166 270;     166 270 02; 756; 834;38;1;  402;  ;0;0;0;0;0;0;0
     166 270;     166 270 04; 839; 858;19;1;  402;  ;0;0;0;0;0;0;0
     166 286;     166 286 02;1334;1315;96;3;  402;  ;0;0;0;0;0;0;0
     166 318;     166 318 02; 630; 701;31;1;  401;  ;0;0;0;0;0;0;0
     166 334;     166 334 02;1231;1232;96;4;  401;  ;0;0;0;0;0;0;0
     166 350;     166 350 02;1113;1147;34;1;  402;  ;0;0;0;0;0;0;0
     166 366;     166 366 02;1232;1234;96;2;  401;  ;0;0;0;0;0;0;0
     166 398;     166 398 02; 919; 919;96;3;  401;  ;0;0;0;0;0;0;0
     166 414;     166 414 02; 725; 738;96;2;  401;  ;0;0;0;0;0;0;0
     167  12;     167  12 02;1716;1740;24;1;  403;  ;0;0;0;0;0;0;0
     167  26;     167  26 02;1525;1542;17;1;  403;  ;0;0;0;0;0;0;0
     167  40;     167  40 01;1540;1655;96;2;  405;  ;0;0;0;0;0;0;0
