MCASEID;MV301;MV302;MREC31_GROUP_01;MREC31_GROUP_02;MREC31_GROUP_03;MREC31_GROUP_04;MREC31_GROUP_05;MREC31_GROUP_06;MREC31_GROUP_07;MREC31_GROUP_08;MREC31_GROUP_09;MREC31_GROUP_10;MREC31_GROUP_11;MREC31_GROUP_12;MREC31_GROUP_13;MREC31_GROUP_14;MREC31_GROUP_15;MREC31_GROUP_16;MREC31_GROUP_17;MREC31_GROUP_18;MREC31_GROUP_19;MREC31_GROUP_20
      12  97  3;3; ;11 0;11 0;11 0;18  ;11 1;11 0;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      12  97  4;3; ;11 0;10  ;11 0;18  ;11 1;11 0;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      12  97  7;3; ;11 0;11 0;11 0;18  ;11 0;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      12  97  8;3; ;11 0;11 0;11 0;18  ;11 0;11 0;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
      13  20  1;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;11 0;11 0;18  ;11 0;10  ;11 0;38  ;38  
      13  20  4;3; ;11 0;11 0;11 0;18  ;11 0;11 0;11 0;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
      13  20  7;3; ;11 0;11 0;11 0;18  ;11 1;10  ;10  ;21 0;21 0;30  ;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      13  27  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 1;38  ;38  
      13  34  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;11 0;21 0;21 1;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      13  55  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;10  ;38  ;38  
      13  63  1;3; ;11 0;10  ;11 0;18  ;11 1;11 0;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
      13  63  2;3; ;11 0;10  ;11 0;18  ;11 1;11 0;10  ;21 0;20  ;30  ;11 0;28  ;10  ;11 0;18  ;11 0;10  ;11 0;38  ;38  
      13  70  1;3; ;11 0;10  ;11 0;18  ;11 0;11 0;10  ;21 0;21 0;31 0;11 0;28  ;10  ;11 0;18  ;10  ;10  ;11 0;38  ;38  
