MCASEID;MMTH1;MMTH2;MMTH3;MMTH4;MMTH5;MMTH6;MMTH7;MMTH8;MMTH9;MMTH10;MMTH11;MMTH12;MMTH13;MMTH14;MMTH15;MMTH16;MMTH17;MMTH18A;MMTH18B;MMTH18C;MMTH18D;MMTH18E;MMTH18F;MMTH18G;MMTH18H;MMTH18I;MMTH18J;MMTH18K;MMTH18L;MMTH18M;MMTH18N;MMTH18O;MMTH18P;MMTH18X;MMTH19;MMTH20;MMTH21;MMTH22;MMTH23;MMTH24
       9  11  7;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 1
       9  11  8;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 1
       9  21  1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 1
       9  31  3;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 5;2; 0
       9  31  4;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 1
       9  31  5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
       9  51  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
       9  80  1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
       9  80  3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
       9  90  3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
       9 100  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
